artistID,artistName
14,අබේවර්ධන බාලසූරිය - abewardana balasuriya
15,අජිත් බණ්ඩාර - ajith bandara
16,අජිත් මුතුකුමාරණ - ajith muthukumarana
17,අජිත් පෙරේරා - ajith perera
18,අමල් පෙරේරා - amal perera
19,අමරසිරි පීරිස් - amarasiri piris
20,අමිල පෙරේරා - amila perera
21,ඇන්ජලින් ගුණතිලක - anjaleen gunathilaka
22,ඇන්ටන් ජෝන්ස් - anton jones
23,අසංක ප්‍රියමන්ත - asanka priyamantha
24,ආත්මා ලියනගේ - athma liyanage
25,අතුල අධිකාරී - athula adhikari
26,අතුල ශ්‍රී ගමගේ - athula sri gamage
27,බාචි සුසාන් - bachi susan
28,බණ්ඩාර අතාවුද - bandara athawuda
29,භාතිය සහ සන්තුෂ් - bhathiya and santhush
30,බිලී ප්‍රනාන්දු - billy fernando
31,බුද්ධික උෂාන් - buddika ushan
32,සෙන්ටිග්‍රේඩ්ස් - centigradez
33,චාමර රණවක - chamara ranawaka
34,චාමර වීරසිංහ - chamara weerasinghe
35,චාමික සිරිමාන්න - chamika sirimanna
36,චන්දන ලියනාරච්චි - chandana liyanarachchi
37,චන්ද්‍රලේඛා පෙරේරා - chandraleka perera
38,චන්ද්‍රසේන හෙට්ටිආරච්චි - chandrasena hettiarachchi
39,චරිතා ප්‍රියදර්ශනී පීරිස් - charitha priyadarshani
40,චිලී තිලංක - chillie thilanka
41,චිත්‍රාල් සෝමපාල - chithral somapala
42,ක්ලැරන්ස් විජේවර්ධන  - clarance wijewardana
43,දමිත් අසංක  - damith asanka
44,ධනපාල උඩවත්ත - dhanapala udawatta
45,ධර්මදාස වල්පොල - dharmadasa walpola
46,දයාන් විතාරණ - dayan witharana
47,දයාරත්න රණතුංග - dayarathna ranathunga
48,දීපිකා ප්‍රියදර්ශනී පීරිස් - deepika priyadarshani
49,දිමංක වෙල්ලාලගේ  - dimanka wellalage
50,දුශාන් ජයතිලක - dushan jayathilaka
51,දුෂ්යන්ත් වීරමන් - dushyanth weeraman
52,එඩ්වඩ් ජයකොඩි - edward jayakodi
53,ෆ්‍රෙඩී සිල්වා  - freddi silva
54,ගයනි මධුශා - gayani madusha
55,ගයන්ත විජේරත්න - gayantha wijerathna
56,ග්‍රේෂන් ආනන්ද - greshan ananda
57,ගුණදාස කපුගේ - gunadasa kapuge
58,එච්.ආර්. ජෝතිපාල - H.R. Jothipala
59,හෙන්රි කල්දේරා - henry kaldera
60,ඉන්ද්‍රචාපා ලියනගේ - indrachapa liyanage
61,ඉන්ද්‍රජිත් දොළමුල්ල - indrajith dolamulla
62,ඉන්ද්‍රාණි පෙරේරා  - indrani perera
63,ඉඳුනිල් අන්දරමාන - idunil andaramana
64,ඉරාජ් වීරරත්න - iraj weerarathna
65,ජගත් වික්‍රමසිංහ - jagath wickramasinha
66,ජය ශ්‍රී - jaya sri
67,ජූඩ් රෝගන්ස් - jude rogans
68,කරුණාරත්න දිවුල්ගනේ - karunarathna diwulgane
69,කසුන් කල්හාර - kasun kalhara
70,කවීෂ කවිරාජ් - kaweesha kaviraj
71,කීර්ති පැස්කුවෙල් - keerthi pasquel
72,කිංස්ලි පීරිස් - kinsley piris
73,කිත්සිරි ජයසේකර - kithsiri jayasekara
74,ක්‍රිෂාන්ත එරන්දක - krishantha erandaka
75,කුෂාණි සඳරේඛා - kushani sadareka
76,ළහිරු පෙරේරා - lahiru perera
77,ලක්ෂ්මන් හේවාවිතාරණ - lakshman hewawitharana
78,ලක්ෂ්මන් හිල්මි - lakshman hilmi
79,ලතා වල්පොල - latha walpola
80,මධුමාධව අරවින්ද - madumadawa arawinda
81,මාලණී බුලත්සිංහල - malani bulathsinhala
82,මංජුල පුෂ්පකුමාර - manjula pushpakumara
83,මීණා ප්‍රසාදිනී - meena prasadini
84,මර්වින් පෙරේරා - mervin perera
85,මිල්ටන් මල්ලවාරච්චි - milton mallawarachchi
86,මොහිදීන් බෙග් - mohideen beg
87,එම්. එස්. ප්‍රනාන්දු - M.S. fernando
88,නදීර නෝනිස් - nadeera nonis
89,නදිනි ප්‍රේමදාස - nadini premadasa
90,නලින් පෙරේරා - nalin perera
91,නාමල් උඩුගම - namal udugama
92,නන්දා මාලනී - nanda malani
93,නීලා වික්‍රමසිංහ - neela wickramasinha
94,නෙලූ අධිකාරි - nelu adikari
95,නිහාල් නෙල්සන් - nihal nelson
96,නිර්මලා රණතුංග - nirmala ranathunga
97,නිරෝෂා විරාජිනී - nirosha virajini
98,නොයෙල් රාජ් - noyel raj
99,ඔශානි සන්දීපා - oshani sandeepa
100,ප්‍රදීප් රංගන - pradeep rangana
101,ප්‍රදීපා ධර්මදාස - pradeepa darmadasa
102,ප්‍රින්ස් උදය ප්‍රියන්ත - prince udaya priyantha
103,ප්‍රියා සූරියසේන - priya sooriyasena
104,පුන්සිරි සොයිසා - punsiri soisa
105,රයිනි චාරුකා - raini charuka
106,රනිදු ලංකාගේ - ranidu lankage
107,රොඩ්නි වර්ණකුල - rodney warnakula
108,රෝහණ බැද්දගේ - rohana beddage
109,රෝහණ බෝගොඩ - rohana beddage
110,රෝහණ වීරසිංහ - rohana weerasinha
111,රොමේෂ් සුගතපාල - romesh sugathapala
112,රොෂාන් ප්‍රනාන්දු - roshan fernando
113,රූකාන්ත ගුණතිලක - rookantha gunathilaka
114,රුවන් හෙට්ටිආරච්චි - ruwan hettiarachchi
115,සමන් ද සිල්වා - saman de silva
116,සමිතා මුදුන්කොටුව - samitha mudunkotuwa
117,සනත් නන්දසිරි - sanath nandasiri
118,සංගීත් විජේසූරිය - sangeeth wijesuriya
119,සමන් ඉන්දික - saman indika
120,සංක දිනෙත් - sanka dineth
121,සතිෂ් පෙරේරා - sathish perera
122,සේනානායක වේරලියද්ද - senanayaka weraliyadda
123,ශානිකා මධුමාලි - shanika madumali
124,ශනුද්රි ප්‍රියසාද් - shanudri priyasad
125,ශෂිකා නිසංසලා - shashika nisansala
126,ශිහාන් මිහිරංග  - shihan mihiranga
127,සෝමසිරි මැදගෙදර - somasiri medagedara
128,සෝමතිලක ජයමහ - somathilaka jayamaha
129,සුභානි හර්ෂනී - subhani harshani
130,සුජාතා අත්තනායක - sujatha aththanayaka
131,සුනිල් එදිරිසිංහ - sunil edirisinha
132,සුනිල් ශාන්ත - sunil shantha
133,සුරේන්ද්‍ර පෙරේරා - surendra perera
134,තීක්ෂණ අනුරාධ - thikshana anurada
135,ටී. එම්. ජයරත්න - T.M. jayarathna
136,උදය ශ්‍රී - udaya sri
137,උදේශ් ඉන්දුල - udesh indula
138,උමාරියා සිංහවංශ - umariya sinhawansha
139,උපාලි කන්නන්ගර - upali kannangara
140,උරේෂා රවිහාරි - uresha ravihari
141,වික්ටර් රත්නායක - victor rathnayaka
142,විජය කුමාරතුංග - vijaya kumarathunga
143,ඩබ්. ඩී. අමරදේව - W.D. amaradewa
144,ඩබ්. ඩී. ආරියසිංහ - W.D. ariyasingha
145,විජය බණ්ඩාර වැලිතුඩුව - wijaya bandara welithuduwa
146,සනුක වික්‍රමසිංහ - sanuka wickramsingha
147,ජානක වික්‍රමසිංහ - janaka wickramasingha
148,අනෙකුත් ගායකයන් - others
