_id,artistID,song,lyric,artistName
1,125,ජීවිතය එක් ගඟුලකි - jiwithaya ek gagulaki,"ජීවිතය එක් ගඟුලකි
යළි හැරී නොගලනු හැකී
මතකයන් මද නල වගේ
ඒ ගඟ දිගේ ආපසු ඇදේ

දිය සමඟ ගෙන එනු බැරී
මග හැරුණු දෑ බෝ වෙතී
එම මතක පතුළෙහි රැඳී 
මිණි ලෙසින් සුරැකිව ඇතී

ගං දියට එක් වනු රිසී
තව ගගක් පේවී ඇතී
උඩු ග ‍ඟේ දෑලෙන් මිදී
මදනලේ නික්මෙමු අපී

ගායනය : සශිකා නිසංසලා
පද රචනය : ප් ‍රසන්ති රණසිංහ
සංගීතය : දර්ශන වික් ‍රමතුංග
 
", සශිකා නිසංසලා
2,148,බුදු බණ පදයක් සවන වැකේවා - budu bana padayak sawana,"බුදු බණ පදයක් සවන වැකේවා
බුදු ගුණ පමණක් සිතට නැගේවා
අවසන් වරට මගේ 
ඇස් පියවෙන මොහොතේ 
බුදු හිමි රුව මට මැවී පෙනේවා

පව් සිදුවෙන්නැති නොදැනීම 
එනිසයි සසරේ ඉපදීම 
බුදු දම් මහිමෙන් පැහැදීම
පමණයි සදහට සැනසීම

සැප සොයලා ගොස් දුක විඳම
සඵල වුණේ නෑ පැතූ සැම
අවසන් මොහොතේ ඉතිරි වුණ
කළ හොඳ නොහොඳයි මට උරුම
",මංගල ඩෙනෙක්ස්
3,148,ඉර හද යට ඔබ දිදුලන තනි තරුවක් - ira handa yata oba - awasara denawada,"ඉර හද යට ඔබ දිදුලන තනි තරුවක්
නිසසල සතුවිලි කලතන හසරල්ලක්
නුපුරුදු ඔබ රුව මට පුරුදුම හැගුනක්
අවසර දෙනවද මුමුණන්නට වදනක්

ආඩම්බර කම තිබුනත් හැඩකාර
හිත විකසිත කළ ඔබ රුව මනහර
ඔය නෙතු කල්මේ සැගවුණු පෙම් හීන
මට විතරක්මද දැනුනේ මිහිරාව

හමුවුණු දවසෙම හිත එබිකම් පාන
මේ තරමට ඇයි ලෙන්ගතුකම් බෝම
වාරු නැතුව හිත දුවනවා දුර ඈත
නවතින්නට ඉඩ දෙනවද ඔබ ගාව
",තානුර මධුගීත්
4,58,සුගත ලෝනා සම්බුද්ධ රාජා - sugatha lona ,"සුගත ලෝනා සම්බුද්ධ රාජා
සුගත ලෝනා සම්බුද්ධ රාජා
ශ් ‍රී පද පද්මෙ පුදනෙමි දී භක්ති පූජා
දී භක්ති පූජා
සුගත ලෝනා සම්බුද්ධ රාජා

භව රෝගෙට ඔසුවක් සොයනා නියා
රජ සම්පත හැරදා නික්මී ගියා
භව රෝගෙට ඔසුවක් සොයනා නියා
රජ සම්පත හැරදා නික්මී ගියා
පාරමී දම් පුරා -ඝෝර මරසෙන් නසා
බෝධි මූලේ. වෙසඟේ. බුදු වූ නියා

හො.සුගත ලෝනා සම්බුද්ධ රාජා
ශ් ‍රී පද පද්මෙ පුදනෙමි දීභක්ති පූජා
දී භක්ති පූජා
සුගත ලෝනා සම්බුද්ධ රාජා

තුන් ලෝකෙම පිබිදී ආලෝක දී
සුද්ධෝදන පුතු දම් නායක වී
තුන් ලෝකෙම පිබිදී ආලෝකේ
සුද්ධෝදන පුතු දම් නායක වී
අහස දෙදරා ගියා -පොලව ගුගුරා ගියා
ශාක්ය රජ මේ. වෙසඟේ. බුදු වූ නියා

හො. සුගත ලෝනා සම්බුද්ධ රාජා
ශ් ‍රී පද පද්මෙ පුදනෙමි දී භක්ති පූජා
දී භක්ති පූජා
සුගත ලෝනා සම්බුද්ධ රාජා
",එච්.ආර්.ජෝතිපාල
5,148,ඇවිදන් ඇවිදන් යනවා - Avidan Yanawa,"ඇවිදන් ඇවිදන් යනවා
මම ඇවිදන් යනවා මතකෙන් ඈතට
හංගන් හංගන් යනවා
මගෙ කඳුලැලි නුඹහට නොපෙනන දුරකට

ඇවිදන් ඇවිදන් යනවා
මම ඇවිදන් යනවා මතකෙන් ඈතට
හංගන් හංගන් යනවා
මගෙ කඳුලැලි නුඹහට නොපෙනන දුරකට

හලන්නෑ උහුලන් ඉන්නම් නෙතු අග කඳුලේ
නුඹේ මතකෙන් මාවම මැකිලා යනකම්
මා සිපගත් නුඹේ දෙතොලේ
මගෙ නම නොතියෙන දවසක් එනකම්

උහුලන් නෙතු අග කඳුලේ
නුඹේ මතකෙන් මාවම මැකිලා යනකම්
මා සිපගත් නුඹේ දෙතොලේ
මගෙ නම නොතියෙන දවසක් එනකම්

දැන දැනමයි ලිව්වේ
නුඹ නැති මගෙ ලෝකේ
මේ හිස් අවකාශේ
නෑසේවි මේ ගීතේ
නුඹ වෙනුවෙන් ලිව්වේ
නුඹගෙන් සගවන්නේ
මා සරලව ලීවේ
සිඟිතිය මනසට කවිපද බර වේ

ආලය හොයාන අපි කෑ කාලය
ආලය කියාන අප විඳි රාගය අද ඉතිරිය මතකය
කෝ අපේ පෙම්බර කතාවේ ඉතිරිය කෝ
මා හොයනවා සොඳුරිය
මා වෙනුවෙන් තෙත්වුණු නෙත්වල දිස්නය
සඳ ඇති නමුත් නුඹ නැති මගේ රාත්රිය
අඳුරුය ඇස්වල කඳුලුය දැන් මට පුරුදුය
මගේ කිඳුරිය නුඹ ගිය ක්ෂිතිජය මට ඈතය
අයිතිය නැති තැන ආදරේ එලෙසම
ආදරේ පෙන්නන්න අයිතිය නැතිකම

අපායේ අහසට හඳ වැඩියද අමාවකට මං කවි ලීවද
පිපෙද්දි දැනෙද්දී අපි ප්රමාදය ප්රේමෙ අකාලය ගෙවිච්ච කාලය
කලකිරෙනවා සං සංසාරය ජිවිතේ දෙන්නගේ සුන්දර කාලය
මත්කරගෙන වක්කරගෙන බිව්වද ප්රේමණීය විෂඝෝර විකාරය
Yeah, පිට දාන හැගුම් මේ ඇඬෙන හැගුම් ඒ මතක රැඟුම් පපුවට කැක්කුම්
Like a vacuum in my soul, Baby how you could be gone

ප්රේමෙන් රිදුනැයි ඔව් මට රිදුනයි
කොතනට වැදුනයි බොක්කට වැදුනයි
වෛරයෙන් ප්රේමෙන් දෙඅතක ඇදුනයි
රාක්ශ නෙත්වල ඇයි අද කඳුලයි
මාස දෙක තුන නොදැනිම ගෙවුනයි
මාස්ක් එකක් තුල හසරැලි මැරුනයි
නුඹ ඇවිදින් මතකය අවුලන
සයිබර් අවකාශෙක සොහොනයි
දශකෙට ඈතින් ආදරේ උපතයි
දෙදහස් විසි එක ආදරේ විපතයි

නොකියමයි ළං වුණේ නොදැනිම අප වෙන් වුණේ
කාලයයි සොබාදමයි අප ළං කර වෙන් කළේ
එදා ඇබ්බැහියක් වුණු පෙමක්
අද මගේ මතකේ ශේෂයේ
නොමැරුනා හදවතක් ඉවසුවා

ඇවිදන් ඇවිදන් යනවා
මම ඇවිදන් යනවා මතකෙන් ඈතට
හංගන් හංගන් යනවා
මගෙ කඳුලැලි නුඹහට නොපෙනන දුරකට

ඇවිදන් ඇවිදන් යනවා
මම ඇවිදන් යනවා මතකෙන් ඈතට
හංගන් හංගන් යනවා
මගෙ කඳුලැලි නුඹහට නොපෙනන දුරකට

හලන්නෑ උහුලන් ඉන්නම් නෙතු අග කඳුලේ
නුඹේ මතකෙන් මාවම මැකිලා යනකම්
මා සිපගත් නුඹේ දෙතොලේ
මගෙ නම නොතියෙන දවසක් එනකම්

උහුලන් නෙතු අග කඳුලේ
නුඹේ මතකෙන් මාවම මැකිලා යනකම්
මා සිපගත් නුඹේ දෙතොලේ
මගෙ නම නොතියෙන දවසක් එනකම්
",යොහානි සිල්වා
6,148,සී සීකඩ විසිරුණු සිතිවිලි - si sikada wisirunu - see seekada,"සී සීකඩ විසිරුණු සිතුවිලි
දිය බුබුලේ නලියන පෙණකැටි වාගේ
නැතිවෑ
හුදකලාවේ තනීවී සිටියම
සිහින ආකරේක වැටුණා වාගේ නිමක් නෑ

මොහොතින් මොහොතට ගෙවනා කාලය
දැනෙනවා කාටත් එක විදිහට
ගිනියම් ඉර සඳ සිසිලස
අතරේ හොයනවා හොයනවා මේ අපි කවුරුද
ගීයකි ලොව සිතුවම් කල
අතරේ අහනවා බලනවා මේ අපි කවුරුද

ඉර බැසයන ගොම්මන් යාමේ
තරු එක දෙක දිලිසෙන කළු ආකාසේ
ගලා හැලෙන රිද්මේ නැහැවී
ඇඳී යන්නේ ඈතින් ඈතට පාවී සුළඟ සේ

මොහොතින් මොහොතට ගෙවනා කාලය
දැනෙනවා කාටත් එක විදිහට
ගිනියම් ඉර සඳ සිසිලස
අතරේ හොයනවා හොයනවා මේ අපි කවුරුද
ගීයකි ලොව සිතුවම් කල
අතරේ අහනවා බලනවා මේ අපි කවුරුද

ගිනියම් ඉර සඳ සිසිලස
අතරේ හොයනවා හොයනවා මේ අපි කවුරුද
ගීයකි ලොව සිතුවම් කල
අතරේ අහනවා බලනවා මේ අපි කවුරුද
",සේනක බටගොඩ
7,148,කැළඹී හමනා - kalambi hamana,"කැළඹී හමනා සුලගේ හෝ වෙලිලා
රහසේ පතනා සුලගක් වී බැදෙනා
දිව රෑ පෙනෙනා සිහිනේ හෝ මැවිලා
මසිතේ රෑ තවරා විදිමී මා සිතිනා....

තේරුනිදෝ සැලෙනා සිතුවිලි හෝ
සිහිනේ වෙලිලා ලන්වීලා ඒවීදෝ
දැනෙනා සිත විදිනා මේ ආදරයම පතනා
නොනිදා සයනේ පතමී රූ මවා

ලංඋනිදෝ දැනෙනා තනිකම හෝ
ආදරෙ දැනිලා ලංවීලා ඒවීදෝ 
සැමදා රූ මැවෙනා රෑ සිහිනයකම සරනා
නොනිදා සයනේ පතමී රූ මවා
",නිමන්ති චමෝදිනී
8,148,මවකගේ උණුසුම නොලබා සැපට නිදන පුතේ - mawakage unusuma nolaba,"මවකගේ උණුසුම නොලබා සැපට නිදන පුතේ
ඔබටත් මට මෙන් තනිකම දැනෙනවාද පුතේ
ඔබෙන් සිගිති පුතේ මගෙ පාලුව මැකේ //

හිතේ තියන පාලු ගතිය ගතිය මගහරින්න පුතේ
සුරකුමරුන් සමගින් ඔබ හිනහෙනවද පුතේ
අප දෙන්නා අදුරු ලොවක තනි කර දා පුතේ
නුඹෙ අම්මා දිවියලෝකෙ ගියා චූටි පුතේ
මා හට දී ඔයා. ඈ සුර ලොව ගියා
සුර විමනක වැදී. මගේ රන්කද නිදී

තවමත් කිරි සුවද දැනේ ඔබේ සිගිති කටේ
ඔබ නැතිනම් මම දැනටත් මැරී ඇතැයි සිතේ
පුතුගෙ උපත මවගෙ විපත එක දිනයෙම වුනේ
කොහොමද මම සිහි කරන්නේ පුතුගේ උපන් දිනේ
මා හට දී ඔයා. ඈ සුර ලොව ගියා//
ලොකු වුනාම අම්මා ගැන අහන්නෙපා පුතේ
එතකොට මගෙ දෙනෙත් වලට කදුලු පිරෙයි පුතේ
සුර විමනක වැදී. මගෙ රන්කද නිදී//
",කේ.සේන
9,148,බොන්නෝන - Bonnona Rap Song,"අඬා දොඩා දුකෙ සුදු කොඩි දාලා
සැපෙ ලක්සෙට කොඩි දාලා
පඩි දාට ඉරිදාට ගාමුද කොල්ලා
අඩි අඩි අඩි අඩි //

මලගේකට දානෙ ගේකට 
කොටහලුවට ඕනදේකට 
නොකානොබි උන්නත් බොලෙ 
වරදින්නෑ අපි ගානෝ ඒ
අඩි අඩි අඩි අඩි අඩි//

[Rap - Moniyo]

රිං රිං දාගන මගෙ සයිකලේ
බල්ලෝ පැන්නේ පෙනි පෙනි තමයි විංකලේ
හති දාගන දත කාගන තමයි Try කරේ
දැන් බැන්නට මල්ලි අපි තමයි හොඳටම කලේ

ආපේ ලෝකෙට ප් ‍රශ්න ගොඩයි අපි ඒව මැදින් හැදුනේ
ඇත්තට දන්නෑ කිකිළිද බිත්තරේද මුලින් හැදුනේ
ජය මල්ල නැද්ද ඇදුනේ අංජනංගේ බඳුනේ
ඇත්තට කියපං උල්කාපාතේ ⁣පුකටද වැදුනේ

පිටට ලොකු ගොටු ගලවල බැලුවම බටු
කැප්ෂන් එකේ චබිලු ඒත් ඇත්තට බැලුවම කටු
බොරුවට පුම්බන් උඩින් යන්නෙ දාගෙන වගේ තටු
දැන්නම් ඉන්නෙ පොෂ් වෙලා ඉස්සර කෙල්ලො හොටු

හිත මිතුරු සුළඟ ලඟ එන වලාව
මූඩිය පෑගුනගමන් තමයි එලියට ගන්නෙ කලාව
ටැට්ටරේ අදින්නෑ කඳු යන්නෙ තැනිතලාවෙ
තණකොළ මැෂින් එකෙන් කපන්නැ බං ලඳු කැලෑව

මිස්කරගන්නෙපා බං සද්දෙට අහපං පපරේ
නටවල ගන්නෙ කෙල්ලො කොල්ලෝ ගමෙ නගරේ
එදිරිමුණි කතා දිගයි තත්පර කට්ටත් ඇඹරේ
මල්ලි පිංකරගත්තොත් තමයි එතෙර වෙන්න වෙන්නෙ කතරෙන්

බඹර පදමට දාගෙන දෙකක් වා⁣ඩියේ මඩුවෙන්
මැණිකෙගේ තාත්ත පත්තරේ අරං වාඩි වුනා පුටුවෙන්
සරම කැහිපොටෙ ගහගන විස්තර දන්න නිසා නඩුවෙන්
මැණිකෙට දෙකක් කිව්ව මම සිංහල නෙමෙයි කඩුවෙන්

[Hook - Shan Putha]
හැඩ දාලා වැඩ දාලා උන්නත් මොකො 
හැන්දෑවට 
බොන්නෝන බොන්නෝන බොන්නෝන බොන්නෝන //
කාලා බිලා මර හාලා ඇති වෙන්නෑ 
අදත් පුතෙ මට
බොන්නෝන බොන්නෝන බොන්නෝන බොන්නෝන //

Tune කරල ගනින් ජනා..
[Rap - Jana]
මට ඕන නෑ කාගෙවත් ලග පොරවෙන්න..
ආයේ සැලකුවොත් සලකන්නේ මම කොරවෙන්නෙ..
වරදින්න නෙවෙයි ඕන කාටත් හරියන්න..
පරදින්නත් ඕන දවසක කොල්ලෝ රජ වෙන්න..

ජිවිතේ කෙටි නිසා හිනා වෙල ඉන්නෝන..
කන්නෝන බොන්නොන්න ආතල් එකේ ඉන්නෝන..
ලොවෙත් දවසක අම්ම, තාත්තා සනසන්නෝන..
මුල අමතක  උන්ට කන පැලෙන්න දෙන්නෝන..

ඇබරේ යකඩ උනත් දැවෙන ගින්දර මේ පපුවේ තියන්..
කරදර එක පිට ආවත් නෑනේ කදුලු හලන්...
හිත හොද කොල්ලෙක් තියගන්න හොදට මතක්..
අපිට එකක් දුන්නොත් අනිත් පැත්තට එකට දෙකක්..

අපේ පාටිනම් මම පින්න මලේ රෝලින්..
නවතල දෙන්නේ Bounce එක හරහට දෝතින්
මේවා supplyment පපුවට හයි ප් ‍රෝටින්...
ලාවට චිල් එකක් ඉරිදට නැත් ‍නම් බෝරිං...

කරවල කියවද්දී දන්නව සුදු මුන..
පොඩි උනත් පොඩිමීටරේ වැඩ තාම..
ඩේලි සැප තිබ්බත් නිවන නෑ ලගපාත..
පදමට ගත්ත නිසා ගෙදරින් නඩු තාම..

ඉන්නේ පොලොවේ නිසා දකින්නේ Parallel..
ලංකාවේ Brand එක හොද නිසා ඉන්නෑ වැඩිකල්..
ප්ලෙනිටියයි වඩේ දෙකයි තමයි උපරිම චිල්...
කැරට් 7 මාල නෑ අපි ෆුල් නෝමල්..

මේ ඉන්න ටිකේ ඉන්න ඕන හොදට..
තරහ තියන් ඉන්නෙපා යන්න වෙන්නෙම දුකට..
ඉරිසියාව ගලවල කරපන්කෝ කොනට..
අනුන්ගේ දේවල් නිසා උබ දුක් විදින්නේ මොකද?

[Hook - Shan Putha]

අඬා දොඩා දුකෙ සුදු කොඩි දාලා
සැපෙ ලක්සෙට කොඩි දාලා
පඩි දාට ඉරිදාට ගාමුද කොල්ලා
අඩි අඩි අඩි අඩි //

මලගේකට දානෙ ගේකට 
කොටහලුවට ඕනදේකට 
නොකානොබි උන්නත් බොලෙ 
වරදින්නෑ අපි ගානෝ ඒ
අඩි අඩි අඩි අඩි අඩි//

හැඩ දාලා වැඩ දාලා උන්නත් මොකො 
හැන්දෑවට 
බොන්නෝන බොන්නෝන බොන්නෝන බොන්නෝන //
කාලා බිලා මර හාලා ඇති වෙන්නෑ 
අදත් පුතෙ මට
බොන්නෝන බොන්නෝන බොන්නෝන බොන්නෝන //
",Dj Jnk x moniyo x shan
10,148,මලෙන් උපන් සමනළී - malen upan samanali,"මලෙන් උපන් සමනළී
රෝස කැලෙන් හමුවුනී
හිතේ රිදුන තැන් බලා
හෙමින් ඉඹින්නම්

මලෙන් උපන් සමනළී
රෝස කැලෙන් හමුවුනී
හිතේ රිදුන තැන් බලා
හෙමින් ඉඹින්නම්

හිනා වෙන්න ‍…ලගින් ඉන්න
මා ගාවම තටු සලන්න
හිත හදන්න ‍… ලගට එන්න
මලෙන් උපන් සමනලී

මුලා වෙන්න එපා ඔන්න
මේ පාරේ පියාඹන්න
පෙම් කරන්න උගන්නන්න
මලෙන් උපන් සමනලී

මහනපුරන් එකතු වෙලා
නපුරුකමක් කලදෝ
මගෙන් ඔබට හිත රිදිලා
ලොවම එපා වෙලාදෝ

හීන දකින වෙලාවේ
චුට්ටක් බය උනා නේ
ලොවම කතා වුනාවේ
ලගම සොදුරු ඔයානේ

මලෙන් උපන් සමනළී
රෝස කැලෙන් හමුවුනී
හිතේ රිදුන තැන් බලා
හෙමින් ඉඹින්නම්

මමයි රෝස සමනලී
රෝස කැලේ ඉපදුනී
හිතේ තැනක් රිදුනොතින්
තුරුලට එන්නම්

හිනා වෙන්න ‍…ලගින් ඉන්න
මා ගාවම තටු සලන්න
හිත හදන්න ‍… ලගට එන්න
මලෙන් උපන් සමනලී

පියාඹන්න කියාදෙන්න
හිත අස්සට වෙලා ඉන්න
අල්ලගන්න ලගින් ඉන්න
බයයි රෝස සමනලී

සංසාරේම මේ වාගේ
දෑස් ලගම ඉන්නකෝ
රිදෙන තැනදි ඔය වාගේ
ආදරේම දෙන්නකෝ

ලොවම එරෙහි උනාවේ
කාලය නැවතුනාවේ
මගේ දෙතොලේ ඔයාගේ
කම්මුල් මල් තලාවේ
",Raveen Kanishka
